Title,Summary,Source,Source,Topic,Business line
Embraer's E190-E2 Program Development Named 2019 PMI Project ,"Project Management Institute (PMI), the world’s leading association for the project management profession, announced on October 5 that the E190-E2 Program Development– Embraer (São José dos Campos, São Paulo, Brazil) has been awarded the 2019 PMI Project of the Year Award.",Business Wire ,Business Wire ,Self-awareness,Commercial
Jet Aviation Announces Opening of New Teterboro Hangar and Renovated FBO,"Jet Aviation announces the opening of its new 40,000 sq. ft. hangar and completely renovated FBO in Teterboro, NJ. The company held a pre-opening celebration at the hangar in August 2019 and has now received its final operating approval.",AviationPros.com,AviationPros.com,Expansion,Executive
GMF Solidifies Its Airframe Capabilities With New Strategy,"GMF AeroAsia is adding hangars, subsidiaries and staff to ramp up for additional airframe and engine maintenance.",MRO Network,MRO Network,New facility,Commercial
United Technologies nets $325.2M contract for F-35 depot maintenance,"The Pratt & Whitney division of United Technologies Corp. was awarded a potential four-year, $325.2 million contract for aircraft maintenance equipment for the F-35 fighter aircraft.",Breitbart,Breitbart,Contract,Military
"Boeing wants to double in size, and Australia is central to its plan",American aircraft manufacturer Boeing expects a significant expansion of its advanced manufacturing facilities in Australia on the back of increased demand from the defence forces and a boom in demand for passenger aircraft in the Asia Pacific.,The Australian Financial Review,The Australian Financial Review,Expansion,Commercial
Airbus to invest $5 Billion in Turkey by 2030,"Turkish Transport and Infrastructure Minister Cahit Turhan has stated that European aircraft manufacturing company Airbus is expected to invest around $2.5 billion in Turkey in 2020, which will increase to $5 billion by 2030.",Aeronautics Online,Aeronautics Online,Investment,Generic
"Airbus sold 41 jets in September, targets record fourth-quarter ","Airbus (AIR.PA) shares rose on Tuesday as investors bet a 13.5% rise in nine-month deliveries put it within reach of a full-year goal despite factory snags, while the cancellation of five jets from struggling Norwegian Air took the edge off 41 new orders.",Reuters,Reuters,Aircraft sales,Commercial
AAR Testing Drones For Aircraft Inspection In Miami,AAR is starting a one-year trial using a Donecle drone for aircraft inspections at its Miami facility. This follows demonstrations of various drones this spring and is part of AAR’s broader investment in MRO digitization.,MRO Network,MRO Network,New technology,Generic
Airbus Plans Venture to Help Airlines Hedge Against Revenue Risk,Airbus SE plans to establish a financial venture that will help its airline customers hedge against risks to revenue.,Bloomberg,Bloomberg,New service,Commercial
AirX will be the world's largest Lineage operator,"AirX, the UK-based charter specialist, is adding two further Embraer Lineage 1000s to its fleet, making it the largest operator of the type in the world.",Corporate Jet Investor,Corporate Jet Investor,Self-awareness,Commercial
Brazil's Embraer to furlough 15000 workers ahead of Boeing deal,"Brazilian planemaker Embraer SA (EMBR3.SA) will furlough almost 15,000 workers in January, the company said, ahead of a partial takeover by Boeing Co (BA.N), a deal that still needs regulatory approval.",Reuters,Reuters,Self-awareness,Commercial
"Elevate Jet Acquires Embraer Regional Jet, ERJ N830MR, Adds to Growing Fleet",Elevate Jet announces the acquisition of a 30-passenger Embraer Regional Jet (ERJ). The aircraft represents the next step in a comprehensive acquisition strategy to grow the Elevate Jet fleet and expand services for aircraft owners and flyers.,PR Web ,PR Web ,Self-awareness,Executive
Embraer conducts first autonomous aircraft test in Brazil,Engineers have demonstrated the autonomous taxiing of an aircraft for the first in Brazil as part of a research project between Embraer and the Universidade Federal do Espírito Santo in Vitória.,Aerospace Testing International,Aerospace Testing International,Self-awareness,Executive
Embraer Predicts E175-E2 First Flight By Year-End,"Brazilian aircraft manufacturer Embraer expects the E175-E2 to make its first flight later this year, with an entry into service for the latest member of its new-generation E-Jets family expected at the end of 2021.",Aviation Week,Aviation Week,Self-awareness,Commercial
EXECUJET MRO SERVICES OPENS LINE MAINTENANCE WORKSHOP IN BRISBANE,"Business aviation company ExecuJet MRO Services has expanded its maintenance, repair and overhaul (MRO) presence in Australia with a new facility at Brisbane Airport.",Australian Aviation,Australian Aviation,New facility,Executive
First Europe-based Praetor 600 Lands in Germany,"Munich, Germany-based aircraft management and charter provider MHS Aviation has taken delivery of Europe’s first Embraer Praetor 600. It joins the company’s fleet of 18 private aircraft that includes Bombardier Globals, Challengers, and a Learjet 45; a Dassault Falcon 2000LX; a Cessna Citation CJ2+; a Dornier 328; and a Leonardo AW109 helicopter.",Aviation International News,Aviation International News,Self-awareness,Executive
MROs Face Deadline For Signing Airbus' Royalty Fee Proposal,Airbus' proposed royalty fee structure for MRO invoice has aftermarket providers around the world very concerned.,MRO Network,MRO Network,Deal,Commercial
New manufacturing orders for defense aircraft and parts fall 20.9 percent in May,"New orders for defense aircraft and parts decreased $1.12 billion, or 20.9 percent, to $4.24 billion in May, according to a U.S. Census Bureau report which was released in August.",Palmetto Business Daily,Palmetto Business Daily,Market,Military
Russia's Spektr-Avia Technic to service Kazakhstan-registered aircraft,"Spektr-Avia Technic, the MRO subsidiary of the Ulyanovsk-based Spektr-Avia aircraft painting specialist, has won OTAR Part 145-approval from the aviation authorities of Kazakhstan. The new status entitles the Russian company to provide maintenance services on Kazakhstan-registered aircraft.",Russian Aviation Insider,Russian Aviation Insider,Deal,Commercial
Piaggio Aerospace Approved Maintenance Tracking Solution Provider,"TRAXXALL announced that it has been named an approved maintenance tracking provider by Piaggio Aerospace, a leading Italian manufacturer in the business aviation, defense and security sectors.",AviationPros.com,AviationPros.com,Deal,Executive
